ImageId,Label
1,3
2,8
3,5
4,5
5,7
6,3
7,2
8,8
9,0
10,0
11,3
12,8
13,4
14,3
15,4
16,6
17,5
18,8
19,0
20,2
21,6
22,4
23,3
24,0
25,3
26,4
27,6
28,2
29,8
30,8
31,9
32,5
33,3
34,7
35,5
36,6
37,6
38,0
39,7
40,2
41,2
42,3
43,2
44,2
45,1
46,6
47,2
48,2
49,5
50,0
51,8
52,0
53,2
54,3
55,6
56,6
57,7
58,2
59,9
60,3
61,5
62,1
63,8
64,2
65,0
66,3
67,9
68,2
69,2
70,5
71,6
72,3
73,6
74,1
75,0
76,0
77,5
78,8
79,5
80,5
81,6
82,4
83,2
84,6
85,6
86,7
87,2
88,2
89,0
90,2
91,3
92,6
93,6
94,7
95,8
96,8
97,0
98,5
99,0
100,7
101,3
102,2
103,2
104,1
105,1
106,8
107,7
108,7
109,2
110,1
111,0
112,2
113,6
114,6
115,5
116,2
117,4
118,2
119,8
120,7
121,8
122,4
123,7
124,0
125,9
126,6
127,2
128,7
129,4
130,8
131,3
132,5
133,2
134,1
135,2
136,3
137,6
138,0
139,6
140,2
141,8
142,5
143,4
144,1
145,2
146,3
147,9
148,5
149,1
150,9
151,4
152,9
153,2
154,7
155,0
156,2
157,7
158,6
159,9
160,6
161,5
162,7
163,8
164,8
165,8
166,6
167,4
168,0
169,2
170,0
171,3
172,9
173,3
174,8
175,1
176,3
177,4
178,2
179,7
180,2
181,8
182,2
183,1
184,7
185,9
186,9
187,7
188,8
189,8
190,8
191,2
192,6
193,2
194,4
195,7
196,7
197,2
198,7
199,9
200,8
201,9
202,1
203,8
204,7
205,7
206,4
207,3
208,1
209,4
210,1
211,2
212,3
213,9
214,1
215,6
216,3
217,1
218,0
219,8
220,3
221,7
222,5
223,2
224,8
225,8
226,5
227,8
228,5
229,8
230,0
231,8
232,1
233,1
234,7
235,2
236,7
237,8
238,2
239,7
240,6
241,5
242,9
243,1
244,2
245,6
246,7
247,3
248,9
249,0
250,3
251,6
252,0
253,1
254,2
255,8
256,9
257,0
258,2
259,6
260,9
261,9
262,6
263,9
264,3
265,2
266,5
267,5
268,2
269,8
270,8
271,6
272,7
273,2
274,1
275,1
276,6
277,3
278,6
279,7
280,7
281,7
282,0
283,2
284,4
285,8
286,5
287,0
288,7
289,7
290,5
291,0
292,9
293,2
294,9
295,4
296,0
297,0
298,3
299,5
300,3
301,0
302,7
303,3
304,6
305,1
306,6
307,4
308,6
309,1
310,8
311,1
312,0
313,7
314,8
315,2
316,5
317,0
318,2
319,8
320,6
321,4
322,3
323,2
324,2
325,7
326,3
327,8
328,5
329,1
330,0
331,9
332,6
333,9
334,4
335,9
336,5
337,2
338,1
339,1
340,7
341,1
342,1
343,3
344,3
345,4
346,1
347,1
348,6
349,7
350,3
351,3
352,8
353,7
354,4
355,1
356,0
357,9
358,4
359,5
360,5
361,8
362,1
363,0
364,0
365,0
366,6
367,4
368,9
369,4
370,8
371,7
372,9
373,4
374,4
375,5
376,5
377,4
378,9
379,8
380,3
381,7
382,8
383,3
384,1
385,0
386,7
387,5
388,4
389,7
390,2
391,3
392,7
393,4
394,4
395,2
396,5
397,8
398,0
399,1
400,4
401,8
402,3
403,2
404,0
405,0
406,5
407,8
408,3
409,3
410,0
411,3
412,8
413,0
414,1
415,8
416,0
417,4
418,8
419,9
420,5
421,8
422,5
423,7
424,3
425,1
426,6
427,7
428,3
429,3
430,0
431,3
432,3
433,2
434,9
435,6
436,4
437,6
438,6
439,9
440,7
441,7
442,8
443,0
444,5
445,9
446,5
447,0
448,5
449,2
450,4
451,0
452,1
453,8
454,2
455,4
456,5
457,0
458,8
459,4
460,9
461,5
462,8
463,2
464,1
465,1
466,0
467,2
468,8
469,7
470,9
471,0
472,0
473,9
